Column,Original_Text,Tokenized_Sentences,Tokenized_Words
Question,What is the chemical formula for water?,['What is the chemical formula for water?'],"['What', 'is', 'the', 'chemical', 'formula', 'for', 'water', '?']"
Question,How many hydrogen atoms are in a water molecule?,['How many hydrogen atoms are in a water molecule?'],"['How', 'many', 'hydrogen', 'atoms', 'are', 'in', 'a', 'water', 'molecule', '?']"
Question,What is the angle between hydrogen atoms in the water molecule? ,['What is the angle between hydrogen atoms in the water molecule?'],"['What', 'is', 'the', 'angle', 'between', 'hydrogen', 'atoms', 'in', 'the', 'water', 'molecule', '?']"
Question,"What gives water its unique properties, such as its ability to form hydrogen bonds and its high surface tension?","['What gives water its unique properties, such as its ability to form hydrogen bonds and its high surface tension?']","['What', 'gives', 'water', 'its', 'unique', 'properties', ',', 'such', 'as', 'its', 'ability', 'to', 'form', 'hydrogen', 'bonds', 'and', 'its', 'high', 'surface', 'tension', '?']"
Question,Which atom in a water molecule has a slightly negative charge?,['Which atom in a water molecule has a slightly negative charge?'],"['Which', 'atom', 'in', 'a', 'water', 'molecule', 'has', 'a', 'slightly', 'negative', 'charge', '?']"
Question,How many covalent bonds are formed between the hydrogen and oxygen atoms in a water molecule?,['How many covalent bonds are formed between the hydrogen and oxygen atoms in a water molecule?'],"['How', 'many', 'covalent', 'bonds', 'are', 'formed', 'between', 'the', 'hydrogen', 'and', 'oxygen', 'atoms', 'in', 'a', 'water', 'molecule', '?']"
Question,What bond forms in between water molecules?,['What bond forms in between water molecules?'],"['What', 'bond', 'forms', 'in', 'between', 'water', 'molecules', '?']"
Question,What is the null/alternative hypothesis?,['What is the null/alternative hypothesis?'],"['What', 'is', 'the', 'null/alternative', 'hypothesis', '?']"
Question,What is the control of a given experiment?,['What is the control of a given experiment?'],"['What', 'is', 'the', 'control', 'of', 'a', 'given', 'experiment', '?']"
Question,What are constants in an experiment?,['What are constants in an experiment?'],"['What', 'are', 'constants', 'in', 'an', 'experiment', '?']"
Question,What are some examples of constants in an experiment?,['What are some examples of constants in an experiment?'],"['What', 'are', 'some', 'examples', 'of', 'constants', 'in', 'an', 'experiment', '?']"
Question,Why must multiple trials occur in an experiment?,['Why must multiple trials occur in an experiment?'],"['Why', 'must', 'multiple', 'trials', 'occur', 'in', 'an', 'experiment', '?']"
Question,What are SEM bars?,['What are SEM bars?'],"['What', 'are', 'SEM', 'bars', '?']"
Question,What is a chi square?,['What is a chi square?'],"['What', 'is', 'a', 'chi', 'square', '?']"
Question,What are histograms?,['What are histograms?'],"['What', 'are', 'histograms', '?']"
Question,What property of water is most important for transporting nutrients and waste in biological systems?,['What property of water is most important for transporting nutrients and waste in biological systems?'],"['What', 'property', 'of', 'water', 'is', 'most', 'important', 'for', 'transporting', 'nutrients', 'and', 'waste', 'in', 'biological', 'systems', '?']"
